id,code,SMILES,mechanism_id
1091.0,(Z)-o-BCaPTPE,C1(/C(C2=CC=CC=C2C3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)=C(C7=C(C8=CC=C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C8)C=CC=C7)\C%12=CC=CC=C%12)=CC=CC=C1,ICT
1092.0,(Z)-o-BTPATPE,C1(/C(C2=CC=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C(C6=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=CC=C6)\C%10=CC=CC=C%10)=CC=CC=C1,ICT
1093.0,p-BCaPTPE,C1(/C(C2=CC=C(C3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)C=C2)=C(C7=CC=C(C8=CC=C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C8)C=C7)/C%12=CC=CC=C%12)=CC=CC=C1,ICT
1101.0,CZ2TPAN,CCN(C1=CC=C(C2=CC=C(/C(C#N)=C(C3=CC=CC=C3)\C4=CC=CC=C4)C=C2)C=C15)C6=C5C=C(C7=CC=C(/C(C#N)=C(C8=CC=CC=C8)\C9=CC=CC=C9)C=C7)C=C6,ICT
1140.0,DEATPE,CCN(CC)C(C=C1)=CC=C1/C(C2=CC=C(N(CC)CC)C=C2)=C(C3=CC=CC=C3)\C4=CC=CC=C4,ICT
1141.0,DFDEATPE,CCN(CC)C(C=C1)=CC=C1/C(C2=CC=C(N(CC)CC)C=C2)=C(C3=CC=C(F)C=C3)\C4=CC=C(F)C=C4,ICT
1142.0,CNDEATPE,CCN(CC)C(C=C1)=CC=C1/C(C2=CC=C(N(CC)CC)C=C2)=C(C3=CC=CC=C3)\C4=CC=C(C#CC5=CC=C(C#N)C=C5)C=C4,ICT
1727.0,Azo-TPA-Th(+),C%12=C(N(C3=CC=C(C2=CC=C(C1=CC=[N+](C)C=C1)S2)C=C3)C%11=CC=C(C%10=CC=C(/N=N/C9=CC=C(C8=CC=C(N(C4=CC=CC=C4)C7=CC=C(C6=CC=C(C5=CC=[N+](C)C=C5)S6)C=C7)C=C8)C=C9)C=C%10)C=C%11)C=CC=C%12,TICT
1729.0,TPA-Th(+),N(C2=CC=C(C1=CC=C(N)C=C1)C=C2)(C3=CC=CC=C3)C6=CC=C(C5=CC=C(C4=CC=[N+](C)C=C4)S5)C=C6,TICT
1774.0,MTPE-M,COC1=CC=C(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=CC=C(/C=C(C#N)C#N)C=C4)C=C3)C5=CC=C(OC)C=C5)C=C1,ICT
1776.0,TETPE,C#CC(C=C1)=CC=C1/C(C2=CC=C(C#C)C=C2)=C(C3=CC=C(C#C)C=C3)C4=CC=C(C#C)C=C4,neutral aromatic
1781.0,TPP-2MP,COC(C=C1)=CC=C1C2=C(C3=CC=C(C4=CC=CC=C4)C=C3)N=C(C5=CC=C(OC)C=C5)C(C6=CC=C(C7=CC=CC=C7)C=C6)=N2,ESIPT
1792.0,TPP-PDCV,N#C/C(C#N)=CC1=CC=C(C(C=C2)=CC=C2C3=C(C4=CC=CC=C4)N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N3)C=C1,ESIPT
1835.0,TBFCN,FC1=C(C#N)C2=NSN=C2C(C(C=C3)=CC=C3N(C4=CC=CC=C4)C5=CC=CC=C5)=C1,TICT
1836.0,TB2FCN,FC1=C(C#N)C2=NSN=C2C(C(C=C3)=CC=C3N(C4=CC=CC=C4)C5=CC=CC=C5)=C1F,TICT
1838.0,TPABSM,FC(C(S/C(S1)=C(C#N)/C#N)=C1C2=NSN=C32)=C3C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6,TICT
1870.0,TPEDCPy,CCN1C2=C(C=CC(/C=C/C3=CC=[N+](C)C=C3)=C2)C4=C1C=CC(N(C5=CC=CC=C5)C(C=C6)=CC=C6/C(C7=CC=CC=C7)=C(C8=CC=CC=C8)/C9=CC=CC=C9)=C4.[I-],TICT
1897.0,AAPP,CCOC(C(C=C1)=CC=C1N2C3=C(N(C4=CC=C(C(OCC)=O)C=C4)C(C5=CC=CC=C5)=C3)C=C2C6=CC=CC=C6)=O,TICT
